"room_name","refundable_rate","rate_id","stay_date","amount","breakfast","lunch","dinner","adultcount","childcount","infantcount","nights","ota_room_id","rate_update_id","refundable","rate_plan_code","date_update","availability","report_date"
"Classic Double","259.00","51867665006","2024-08-01","259.00",True,False,False,2,0,0,1,"606651","34810000022877",True,NULL,"2024-07-13 20:00:37",7,"2024-07-13"
"Classic Double","219.00","51867665001","2024-08-01","219.00",False,False,False,2,0,0,1,"606651","34810000022877",True,NULL,"2024-07-13 20:00:37",7,"2024-07-13"
"Classic Double","239.00","51867665002","2024-08-01","239.00",True,False,False,2,0,0,1,"606651","34810000022877",False,NULL,"2024-07-13 20:00:37",7,"2024-07-13"
"Classic Double","219.00","51867664945","2024-08-02","219.00",False,False,False,2,0,0,1,"606651","34810000022877",True,NULL,"2024-07-13 20:00:37",7,"2024-07-13"
"Classic Double","239.00","51867664946","2024-08-02","239.00",True,False,False,2,0,0,1,"606651","34810000022877",False,NULL,"2024-07-13 20:00:37",7,"2024-07-13"
"Classic Double","259.00","51867664950","2024-08-02","259.00",True,False,False,2,0,0,1,"606651","34810000022877",True,NULL,"2024-07-13 20:00:37",7,"2024-07-13"
"Classic Double","219.00","51867664947","2024-08-02","219.00",True,False,False,1,0,0,1,"606651","34810000022877",False,NULL,"2024-07-13 20:00:37",7,"2024-07-13"
"Classic Double","199.00","51867664937","2024-08-02","199.00",False,False,False,2,0,0,1,"606651","34810000022877",False,NULL,"2024-07-13 20:00:37",7,"2024-07-13"
"Classic Double","239.00","51867664951","2024-08-02","239.00",True,False,False,1,0,0,1,"606651","34810000022877",True,NULL,"2024-07-13 20:00:37",7,"2024-07-13"
"Classic Double","259.00","51867664802","2024-08-03","259.00",True,False,False,1,0,0,1,"606651","34810000022877",True,NULL,"2024-07-13 20:00:37",7,"2024-07-13"
"Classic Double","259.00","51867664797","2024-08-03","259.00",True,False,False,2,0,0,1,"606651","34810000022877",False,NULL,"2024-07-13 20:00:37",7,"2024-07-13"
"Classic Double","239.00","51867664796","2024-08-03","239.00",False,False,False,2,0,0,1,"606651","34810000022877",True,NULL,"2024-07-13 20:00:37",7,"2024-07-13"
"Classic Double","219.00","51867664788","2024-08-03","219.00",False,False,False,2,0,0,1,"606651","34810000022877",False,NULL,"2024-07-13 20:00:37",7,"2024-07-13"
"Classic Double","239.00","51867664798","2024-08-03","239.00",True,False,False,1,0,0,1,"606651","34810000022877",False,NULL,"2024-07-13 20:00:37",7,"2024-07-13"
"Classic Double","279.00","51867664801","2024-08-03","279.00",True,False,False,2,0,0,1,"606651","34810000022877",True,NULL,"2024-07-13 20:00:37",7,"2024-07-13"
"Classic Double","219.00","51867665129","2024-08-04","219.00",True,False,False,2,0,0,1,"606651","34810000022877",True,NULL,"2024-07-13 20:00:37",7,"2024-07-13"
"Classic Double","208.00","51867665125","2024-08-04","208.00",True,False,False,2,0,0,1,"606651","34810000022877",False,NULL,"2024-07-13 20:00:37",7,"2024-07-13"
"Classic Double","199.00","51867665130","2024-08-04","199.00",True,False,False,1,0,0,1,"606651","34810000022877",True,NULL,"2024-07-13 20:00:37",7,"2024-07-13"
"Classic Double","189.00","51867665124","2024-08-04","189.00",False,False,False,2,0,0,1,"606651","34810000022877",True,NULL,"2024-07-13 20:00:37",7,"2024-07-13"
"Classic Double","179.00","51867665116","2024-08-04","179.00",False,False,False,2,0,0,1,"606651","34810000022877",False,NULL,"2024-07-13 20:00:37",7,"2024-07-13"
"Classic Double","189.00","51867665126","2024-08-04","189.00",True,False,False,1,0,0,1,"606651","34810000022877",False,NULL,"2024-07-13 20:00:37",7,"2024-07-13"
"Classic Double","219.00","51867665033","2024-08-05","219.00",True,False,False,1,0,0,1,"606651","34810000022877",False,NULL,"2024-07-13 20:00:37",7,"2024-07-13"
"Classic Double","259.00","51867665036","2024-08-05","259.00",True,False,False,2,0,0,1,"606651","34810000022877",True,NULL,"2024-07-13 20:00:37",7,"2024-07-13"
"Classic Double","239.00","51867665037","2024-08-05","239.00",True,False,False,1,0,0,1,"606651","34810000022877",True,NULL,"2024-07-13 20:00:37",7,"2024-07-13"
"Classic Double","199.00","51867665023","2024-08-05","199.00",False,False,False,2,0,0,1,"606651","34810000022877",False,NULL,"2024-07-13 20:00:37",7,"2024-07-13"
"Classic Double","239.00","51867665032","2024-08-05","239.00",True,False,False,2,0,0,1,"606651","34810000022877",False,NULL,"2024-07-13 20:00:37",7,"2024-07-13"
"Classic Double","219.00","51867665031","2024-08-05","219.00",False,False,False,2,0,0,1,"606651","34810000022877",True,NULL,"2024-07-13 20:00:37",7,"2024-07-13"
"Classic Double","239.00","51867665396","2024-08-09","239.00",True,False,False,1,0,0,1,"606651","34810000022877",True,NULL,"2024-07-13 20:00:37",7,"2024-07-13"
"Classic Double","219.00","51867665394","2024-08-09","219.00",True,False,False,1,0,0,1,"606651","34810000022877",False,NULL,"2024-07-13 20:00:37",7,"2024-07-13"
"Classic Double","259.00","51867665395","2024-08-09","259.00",True,False,False,2,0,0,1,"606651","34810000022877",True,NULL,"2024-07-13 20:00:37",7,"2024-07-13"
"Classic Double","239.00","51867665393","2024-08-09","239.00",True,False,False,2,0,0,1,"606651","34810000022877",False,NULL,"2024-07-13 20:00:37",7,"2024-07-13"
"Classic Double","219.00","51867665392","2024-08-09","219.00",False,False,False,2,0,0,1,"606651","34810000022877",True,NULL,"2024-07-13 20:00:37",7,"2024-07-13"
"Classic Double","199.00","51867665387","2024-08-09","199.00",False,False,False,2,0,0,1,"606651","34810000022877",False,NULL,"2024-07-13 20:00:37",7,"2024-07-13"
"Classic Double","269.00","51867665283","2024-08-10","269.00",False,False,False,2,0,0,1,"606651","34810000022877",True,NULL,"2024-07-13 20:00:37",7,"2024-07-13"
"Classic Double","279.00","51867665284","2024-08-10","279.00",True,False,False,2,0,0,1,"606651","34810000022877",False,NULL,"2024-07-13 20:00:37",7,"2024-07-13"
"Classic Double","259.00","51867665285","2024-08-10","259.00",True,False,False,1,0,0,1,"606651","34810000022877",False,NULL,"2024-07-13 20:00:37",7,"2024-07-13"
"Classic Double","289.00","51867665287","2024-08-10","289.00",True,False,False,1,0,0,1,"606651","34810000022877",True,NULL,"2024-07-13 20:00:37",7,"2024-07-13"
"Classic Double","239.00","51867665278","2024-08-10","239.00",False,False,False,2,0,0,1,"606651","34810000022877",False,NULL,"2024-07-13 20:00:37",7,"2024-07-13"
"Classic Double","309.00","51867665286","2024-08-10","309.00",True,False,False,2,0,0,1,"606651","34810000022877",True,NULL,"2024-07-13 20:00:37",7,"2024-07-13"
"Classic Double","198.00","51867664874","2024-08-11","198.00",True,False,False,2,0,0,1,"606651","34810000022877",False,NULL,"2024-07-13 20:00:37",7,"2024-07-13"
"Classic Double","208.00","51867664878","2024-08-11","208.00",True,False,False,2,0,0,1,"606651","34810000022877",True,NULL,"2024-07-13 20:00:37",7,"2024-07-13"
"Classic Double","189.00","51867664879","2024-08-11","189.00",True,False,False,1,0,0,1,"606651","34810000022877",True,NULL,"2024-07-13 20:00:37",7,"2024-07-13"
"Classic Double","169.00","51867664865","2024-08-11","169.00",False,False,False,2,0,0,1,"606651","34810000022877",False,NULL,"2024-07-13 20:00:37",7,"2024-07-13"
"Classic Double","179.00","51867664873","2024-08-11","179.00",False,False,False,2,0,0,1,"606651","34810000022877",True,NULL,"2024-07-13 20:00:37",7,"2024-07-13"
"Classic Double","179.00","51867664875","2024-08-11","179.00",True,False,False,1,0,0,1,"606651","34810000022877",False,NULL,"2024-07-13 20:00:37",7,"2024-07-13"
"Classic Double","199.00","51867665335","2024-08-12","199.00",False,False,False,2,0,0,1,"606651","34810000022877",True,NULL,"2024-07-13 20:00:37",7,"2024-07-13"
"Classic Double","199.00","51867665337","2024-08-12","199.00",True,False,False,1,0,0,1,"606651","34810000022877",False,NULL,"2024-07-13 20:00:37",7,"2024-07-13"
"Classic Double","219.00","51867665336","2024-08-12","219.00",True,False,False,2,0,0,1,"606651","34810000022877",False,NULL,"2024-07-13 20:00:37",7,"2024-07-13"
"Classic Double","219.00","51867665339","2024-08-12","219.00",True,False,False,1,0,0,1,"606651","34810000022877",True,NULL,"2024-07-13 20:00:37",7,"2024-07-13"
"Classic Double","189.00","51867665260","2024-08-12","189.00",False,False,False,2,0,0,1,"606651","34810000022877",False,NULL,"2024-07-13 20:00:37",7,"2024-07-13"
"Classic Double","239.00","51867665338","2024-08-12","239.00",True,False,False,2,0,0,1,"606651","34810000022877",True,NULL,"2024-07-13 20:00:37",7,"2024-07-13"
"Classic Double","239.00","51867665539","2024-08-13","239.00",True,False,False,1,0,0,1,"606651","34810000022877",False,NULL,"2024-07-13 01:00:31",7,"2024-07-13"
"Classic Double","279.00","51867665562","2024-08-13","279.00",True,False,False,2,0,0,1,"606651","34810000022877",True,NULL,"2024-07-13 01:00:31",7,"2024-07-13"
"Classic Double","219.00","51867665549","2024-08-13","219.00",False,False,False,2,0,0,1,"606651","34810000022877",False,NULL,"2024-07-13 01:00:31",7,"2024-07-13"
"Classic Double","259.00","51867665544","2024-08-13","259.00",True,False,False,1,0,0,1,"606651","34810000022877",True,NULL,"2024-07-13 01:00:31",7,"2024-07-13"
"Classic Double","239.00","51867665558","2024-08-13","239.00",False,False,False,2,0,0,1,"606651","34810000022877",True,NULL,"2024-07-13 01:00:31",7,"2024-07-13"
"Classic Double","259.00","51867665553","2024-08-13","259.00",True,False,False,2,0,0,1,"606651","34810000022877",False,NULL,"2024-07-13 01:00:31",7,"2024-07-13"
"Classic Double","279.00","51867665585","2024-08-14","279.00",True,False,False,2,0,0,1,"606651","34810000022877",False,NULL,"2024-07-13 01:00:31",7,"2024-07-13"
"Classic Double","239.00","51867665581","2024-08-14","239.00",False,False,False,2,0,0,1,"606651","34810000022877",False,NULL,"2024-07-13 01:00:31",7,"2024-07-13"
"Classic Double","289.00","51867665576","2024-08-14","289.00",True,False,False,1,0,0,1,"606651","34810000022877",True,NULL,"2024-07-13 01:00:31",7,"2024-07-13"
"Classic Double","269.00","51867665590","2024-08-14","269.00",False,False,False,2,0,0,1,"606651","34810000022877",True,NULL,"2024-07-13 01:00:31",7,"2024-07-13"
